obj_name,campaign,ap_start,ap_end,count,EPIC_ID,main_type,sub_type,new_obj_name,clean_name,alternate_names,PROPOSERS,IDS
Asteroid.Trojan.Leucus,111|112,200125327,200145290,2999,,asteroid-Trojan,Leucus,Asteroid.Trojan.Leucus,Leucus,11351|1997 TS25|Leucus,Parker|Ryan,GO11100|GO11051
2013 A1 (Siding Springs),2,200001787,200004369,2583,,comet,2013 A1 (Siding Springs),2013 A1 (Siding Springs),2013 A1 (Siding Springs),Siding Spring,Lisse|Kelley,GO2046|GO2030
Churyumov-Gerasimenko,10,200081804,200084003,2200,,comet,67P/Churyumov-Gerasimenko,Churyumov-Gerasimenko,Churyumov-Gerasimenko,67P,Snodgrass,GO10904
Asteroid.Ryugu,15,200193072,200194787,1716,,,,Asteroid.Ryugu,Ryugu,162173|Ryugu|1999 JU3,Kiss,GO15061
Asteroid.Trojan.2001 DU87,111|112,200113657,200134731,1700,,asteroid-Trojan,2001 DU87,Asteroid.Trojan.2001 DU87,2001 DU87,2001 DU87|63291,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2001 SE182,111|112,200118031,200138874,1592,,asteroid-Trojan,2001 SE182,Asteroid.Trojan.2001 SE182,2001 SE182,156085|2001 SE182,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.1999 XM193,111|112,200109156,200131695,1573,,asteroid-Trojan,1999 XM193,Asteroid.Trojan.1999 XM193,1999 XM193,1999 XM193|20739,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2001 OB100,111|112,200114979,200135824,1566,,asteroid-Trojan,2001 OB100,Asteroid.Trojan.2001 OB100,2001 OB100,2001 OB100|39301,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.Tuckia,111|112,200128178,200147343,1464,,asteroid-Trojan,Tuckia,Asteroid.Trojan.Tuckia,Tuckia,1038|1924 TK|Tuckia,Parker|Ryan,GO11100|GO11051
Asteroid.Trojan.1999 CL153,111|112,200108462,200130951,1373,,asteroid-Trojan,1999 CL153,Asteroid.Trojan.1999 CL153,1999 CL153,1999 CL153|59355,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Comet.Chiron,12,200161173,200164266,1350,,comet,Chiron,Comet.Chiron,Chiron,1977 UB|2060|Chiron,Ryan|Golden,GO12051|GO12033
TNO (250112) 2002 KY14,4,200006425,200007764,1340,,TNO, (250112) 2002 KY14,2002 KY14,250112,250112|2002 KY14,,
Comet.176P,12,200147538,200148831,1294,,comet,176P,Comet.176P,176P,,Golden,GO12033
TNO.1999 TS40,8,200063238,200064506,1269,,TNO,1999 TS40,TNO.1999 TS40,1999 TS40,1999 TS40|20628,Ryan,GO8010
Comet.228P,12,200158279,200159543,1265,,comet,228P,Comet.228P,228P,,Golden,GO12033
Asteroid.Trojan.1981 EK47,12,200148832,200150087,1256,,asteroid-Trojan,1981 EK47,Asteroid.Trojan.1981 EK47,1981 EK47,1981 EK47|30764,Ryan,GO12051
TNO.2007 RY194,8,200066687,200067921,1235,,TNO,2007 RY194,TNO.2007 RY194,2007 RY194,2007 RY194|402869,Ryan,GO8010
Asteroid.Trojan.2001 UK113,12,200155327,200156554,1228,,asteroid-Trojan,2001 UK113,Asteroid.Trojan.2001 UK113,2001 UK113,2001 UK113|55505,Ryan,GO12051
Asteroid.Trojan.2000 WW146,13,200169492,200170705,1214,,asteroid-Trojan,2000 WW146,Asteroid.Trojan.2000 WW146,2000 WW146,193449|2000 WW146,Ryan,GO13051
Asteroid.Hilda.2004 TN126,10,200077913,200079072,1160,,asteroid-Hilda,2004 TN126,Asteroid.Hilda.2004 TN126,2004 TN126,152133|2004 TN126,Ryan,GO10010
TNO.Quaoar,91|92,200068780,200069356,1154,,TNO,Quaoar,TNO.Quaoar,Quaoar,2002 LM60|50000|Quaoar,,
Asteroid.Trojan.1999 XS226,111|112,200109985,200132251,1115,,asteroid-Trojan,1999 XS226,Asteroid.Trojan.1999 XS226,1999 XS226,162352|1999 XS226,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Hilda.1992 ET32,10,200072855,200073967,1113,,asteroid-Hilda,1992 ET32,Asteroid.Hilda.1992 ET32,1992 ET32,1992 ET32|43818,Ryan,GO10010
Asteroid.Trojan.Ialmenus,111|112,200124693,200143749,1112,,asteroid-Trojan,Ialmenus,Asteroid.Trojan.Ialmenus,Ialmenus,1998 YW1|21602|Ialmenus,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2001 OR24,111|112,200116820,200137412,1112,,asteroid-Trojan,2001 OR24,Asteroid.Trojan.2001 OR24,2001 OR24,124174|2001 OR24,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Comet.90P,12,200159544,200160634,1091,,comet,90P,Comet.90P,90P,,Golden,GO12033
Asteroid.Hilda.2000 DV76,10,200076283,200077338,1056,,asteroid-Hilda,2000 DV76,Asteroid.Hilda.2000 DV76,2000 DV76,2000 DV76|92284,Ryan,GO10010
TNO.2006 UB219,8,200065666,200066686,1021,,TNO,2006 UB219,TNO.2006 UB219,2006 UB219,185290|2006 UB219,Ryan,GO8010
Asteroid.Trojan.2000 DY4,111|112,200111766,200133457,988,,asteroid-Trojan,2000 DY4,Asteroid.Trojan.2000 DY4,2000 DY4,2000 DY4|41427,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Hilda.2000 DP99,10,200074497,200075480,984,,asteroid-Hilda,2000 DP99,Asteroid.Hilda.2000 DP99,2000 DP99,148227|2000 DP99,Ryan,GO10010
Comet.246P,13,200172597,200173563,967,,comet,246P,Comet.246P,246P,,Golden,GO13033
Comet.17P,14,200176225,200177187,963,,comet,17P,Comet.17P,17P,,Ryan,GO14086
Asteroid.Trojan.1998 XA13,111|112,200107527,200129842,955,,asteroid-Trojan,1998 XA13,Asteroid.Trojan.1998 XA13,1998 XA13,1998 XA13|23968,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2001 OP94,111|112,200116360,200136853,921,,asteroid-Trojan,2001 OP94,Asteroid.Trojan.2001 OP94,2001 OP94,158158|2001 OP94,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TROJAN (15529),6,200046167,200047086,920,,asteroid-Trojan,-15529,TROJAN (15529),15529,15529|2000 AA80,Ryan,GO6025
Asteroid.Trojan.2000 QT59,12,200151470,200152384,915,,asteroid-Trojan,2000 QT59,Asteroid.Trojan.2000 QT59,2000 QT59,130453|2000 QT59,Ryan,GO12051
Asteroid.Trojan.2001 TG218,12,200153529,200154436,908,,asteroid-Trojan,2001 TG218,Asteroid.Trojan.2001 TG218,2001 TG218,2001 TG218|83801,Ryan,GO12051
Asteroid.Trojan.1998 XX93,111|112,200108007,200130272,885,,asteroid-Trojan,1998 XX93,Asteroid.Trojan.1998 XX93,1998 XX93,11397|1998 XX93,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Hilda.Chijagerbs,10,200084012,200084870,859,,asteroid-Hilda,Chijagerbs,Asteroid.Hilda.Chijagerbs,Chijagerbs,16232|2000 ED152|Chijagerbs,Ryan,GO10010
Asteroid.Trojan.2002 EX154,111|112,200119241,200139715,832,,asteroid-Trojan,2002 EX154,Asteroid.Trojan.2002 EX154,2002 EX154,2002 EX154|258683,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.Lipperhey,12,200163044,200163874,831,,asteroid-Trojan,Lipperhey,Asteroid.Trojan.Lipperhey,Lipperhey,1998 HX147|31338|Lipperhey,Ryan,GO12051
Asteroid.Hilda.2005 VZ17,10,200079669,200080499,831,,asteroid-Hilda,2005 VZ17,Asteroid.Hilda.2005 VZ17,2005 VZ17,177943|2005 VZ17,Ryan,GO10010
TROJAN (13372),6,200044895,200045697,803,,asteroid-Trojan,-13372,TROJAN (13372),13372,13372|1998 VU6,Ryan,GO6025
Asteroid.Hilda.2000 DS8,10,200075481,200076282,802,,asteroid-Hilda,2000 DS8,Asteroid.Hilda.2000 DS8,2000 DS8,2000 DS8|92281,Ryan,GO10010
Asteroid.Hilda.2005 UR38,10|15,200079073,200187527,785,,asteroid-Hilda,2005 UR38,Asteroid.Hilda.2005 UR38,2005 UR38,161606|2005 UR38,Pal|Ryan|Ryan|Grundy|Pal|Ryan|Ryan|Grundy|Marciniak|Pal|Ryan|Golden|Pal|Ryan|Golden|Pal|Parker|Ryan|Snodgrass|Kiss|Ryan,GO15098|GO15086|GO15085|GO15073|GO14098|GO14086|GO14085|GO14073|GO14059|GO13114|GO13051|GO13033|GO12114|GO12051|GO12033|GO11114|GO11100|GO11051|GO10904|GO10075|GO10010
Asteroid.Trojan.2008 SG182,111|112,200122158,200141840,778,,asteroid-Trojan,2008 SG182,Asteroid.Trojan.2008 SG182,2008 SG182,2008 SG182|207892,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Comet.130P,15,200183159,200183930,772,,comet,130P,Comet.130P,130P,,Ryan,GO15086
Asteroid.Trojan.2001 PJ4,111|112,200117373,200137794,763,,asteroid-Trojan,2001 PJ4,Asteroid.Trojan.2001 PJ4,2001 PJ4,2001 PJ4|217032,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Hilda.1988 RO12,10|15,200071712,200184740,749,,asteroid-Hilda,1988 RO12,Asteroid.Hilda.1988 RO12,1988 RO12,1988 RO12|90704,Ryan|Ryan|Grundy|Pal|Ryan|Ryan|Grundy|Marciniak|Pal|Ryan|Golden|Pal|Ryan|Golden|Pal|Parker|Ryan|Snodgrass|Kiss|Ryan,GO15086|GO15085|GO15073|GO14098|GO14086|GO14085|GO14073|GO14059|GO13114|GO13051|GO13033|GO12114|GO12051|GO12033|GO11114|GO11100|GO11051|GO10904|GO10075|GO10010
TROJAN (39301),6,200053051,200053781,731,,asteroid-Trojan,-39301,TROJAN (39301),39301,2001 OB100|39301,Ryan,GO6025
TROJAN (23939),6,200049196,200049925,730,,asteroid-Trojan,-23939,TROJAN (23939),23939,1998 TV33|23939,Ryan,GO6025
TNO.469505,15,200191605,200192327,723,,TNO,469505,TNO.469505,469505,2003 FE128|469505,Pal|Grundy,GO15098|GO15073
TROJAN (13366),6,200044184,200044894,711,,asteroid-Trojan,-13366,TROJAN (13366),13366,13366|1998 US24,Ryan,GO6025
TNO.1999 VG135,8,200064507,200065199,693,,TNO,1999 VG135,TNO.1999 VG135,1999 VG135,1999 VG135|202992,Ryan,GO8010
Asteroid.Trojan.2008 RR51,12,200156943,200157633,691,,asteroid-Trojan,2008 RR51,Asteroid.Trojan.2008 RR51,2008 RR51,2008 RR51|216411,Ryan,GO12051
Trojan 2001 SM251,7,200061463,200062140,678,,asteroid-Trojan, 2001 SM251,Trojan 2001 SM251,2001 SM251,2001 SM251|77893,Ryan,GO7025
Asteroid.Trojan.2001 OH76,111|112,200116032,200136392,670,,asteroid-Trojan,2001 OH76,Asteroid.Trojan.2001 OH76,2001 OH76,2001 OH76|77734,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO (278361) 2007 JJ43,2,200001126,200001786,661,,TNO, (278361) 2007 JJ43,2007 JJ43,2007 JJ43,,,
TNO.160147,15,200183931,200184585,655,,TNO,160147,TNO.160147,160147,160147|2001 KN76,Grundy,GO15073
Asteroid.Hilda.1989 VW,10|15,200072306,200185004,644,,asteroid-Hilda,1989 VW,Asteroid.Hilda.1989 VW,1989 VW,1989 VW|7284,Ryan|Ryan|Grundy|Pal|Ryan|Ryan|Grundy|Marciniak|Pal|Ryan|Golden|Pal|Ryan|Golden|Pal|Parker|Ryan|Snodgrass|Kiss|Ryan,GO15086|GO15085|GO15073|GO14098|GO14086|GO14085|GO14073|GO14059|GO13114|GO13051|GO13033|GO12114|GO12051|GO12033|GO11114|GO11100|GO11051|GO10904|GO10075|GO10010
TNO.2013 JV65,15,200188972,200189607,636,,TNO,2013 JV65,TNO.2013 JV65,2013 JV65,2013 JV65,Grundy,GO15073
Asteroid.Trojan.Kamerlingh,12,200162431,200163043,613,,asteroid-Trojan,Kamerlingh,Asteroid.Trojan.Kamerlingh,Kamerlingh,1993 TE40|58279|Kamerlingh,Ryan,GO12051
Asteroid.Trojan.2001 SM251,12,200152578,200153187,610,,asteroid-Trojan,2001 SM251,Asteroid.Trojan.2001 SM251,2001 SM251,2001 SM251|77893,Ryan,GO12051
Asteroid.Trojan.2000 KJ1,111|112,200112364,200133871,608,,asteroid-Trojan,2000 KJ1,Asteroid.Trojan.2000 KJ1,2000 KJ1,2000 KJ1|27561,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Moon.Enceladus,111|112,200124091,200142897,607,,moon,Enceladus,Moon.Enceladus,Enceladus,,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2002 TE13,111|112,200120529,200140688,603,,asteroid-Trojan,2002 TE13,Asteroid.Trojan.2002 TE13,2002 TE13,142470|2002 TE13,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.Phyleus,111|112,200127609,200146320,600,,asteroid-Trojan,Phyleus,Asteroid.Trojan.Phyleus,Phyleus,1973 SZ|39463|Phyleus,Parker|Ryan,GO11100|GO11051
TNO.2001 HZ58,15,200186324,200186919,596,,TNO,2001 HZ58,TNO.2001 HZ58,2001 HZ58,2001 HZ58,Grundy,GO15073
TNO.2003 FC128,10,200077339,200077912,574,,TNO,2003 FC128,TNO.2003 FC128,2003 FC128,127871|2003 FC128,Kiss,GO10075
TNO (126154) 2001 YH140,5,200008716,200009280,565,,TNO, (126154) 2001 YH140,2001 YH140,126154,126154|2001 YH140,,
TROJAN (24534),6,200050619,200051168,550,,asteroid-Trojan,-24534,TROJAN (24534),24534,2001 CX27|24534,Ryan,GO6025
TNO.2014 WO509,14,200178313,200178857,545,,TNO,2014 WO509,TNO.2014 WO509,2014 WO509,2014 WO509,Grundy,GO14073
Asteroid.Trojan.1989 CW1,111|112,200107039,200129301,542,,asteroid-Trojan,1989 CW1,Asteroid.Trojan.1989 CW1,1989 CW1,1989 CW1|5209,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.1998 KZ12,12,200150337,200150876,540,,asteroid-Trojan,1998 KZ12,Asteroid.Trojan.1998 KZ12,1998 KZ12,1998 KZ12|65989,Ryan,GO12051
Asteroid.Trojan.Anchialos,111|112,200123827,200142603,537,,asteroid-Trojan,Anchialos,Asteroid.Trojan.Anchialos,Anchialos,18263|5167 T-2|Anchialos,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2000 BQ21,111|112,200110884,200132853,534,,asteroid-Trojan,2000 BQ21,Asteroid.Trojan.2000 BQ21,2000 BQ21,2000 BQ21|60401,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.2011 JF31,15,200188440,200188971,532,,TNO,2011 JF31,TNO.2011 JF31,2011 JF31,2011 JF31|471318,Pal|Grundy,GO15098|GO15073
Asteroid.Trojan.2002 EQ149,111|112,200118976,200139295,532,,asteroid-Trojan,2002 EQ149,Asteroid.Trojan.2002 EQ149,2002 EQ149,141523|2002 EQ149,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.1999 DE9,10,200073968,200074496,529,,TNO,1999 DE9,TNO.1999 DE9,1999 DE9,1999 DE9|26375,Kiss,GO10075
TROJAN (16152),6,200047329,200047846,518,,asteroid-Trojan,-16152,TROJAN (16152),16152,16152|1999 YN12,Ryan,GO6025
Asteroid.Trojan.1999 XJ55,15,200185207,200185715,509,,asteroid-Trojan,1999 XJ55,Asteroid.Trojan.1999 XJ55,1999 XJ55,1999 XJ55|247019,Ryan,GO15085
Asteroid.Trojan.2008 VE11,13,200171847,200172355,509,,asteroid-Trojan,2008 VE11,Asteroid.Trojan.2008 VE11,2008 VE11,2008 VE11|403237,Ryan,GO13051
Asteroid.Trojan.2009 QB22,111|112,200122756,200142170,503,,asteroid-Trojan,2009 QB22,Asteroid.Trojan.2009 QB22,2009 QB22,2009 QB22|264029,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.80806,14,200181221,200181722,502,,TNO,80806,TNO.80806,80806,2000 CM105|80806,Grundy,GO14073
TNO.2014 WA510,14,200177657,200178151,495,,TNO,2014 WA510,TNO.2014 WA510,2014 WA510,2014 WA510,Grundy,GO14073
TROJAN (46302),6,200054181,200054673,493,,asteroid-Trojan,-46302,TROJAN (46302),46302,2001 OG13|46302,Ryan,GO6025
TNO.2010 ET65,10,200080834,200081324,491,,TNO,2010 ET65,TNO.2010 ET65,2010 ET65,2010 ET65|471137,Kiss,GO10075
Asteroid.Trojan.2001 FV58,111|112,200114497,200134976,490,,asteroid-Trojan,2001 FV58,Asteroid.Trojan.2001 FV58,2001 FV58,107804|2001 FV58,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2001 OG13,111|112,200115771,200136050,487,,asteroid-Trojan,2001 OG13,Asteroid.Trojan.2001 OG13,2001 OG13,2001 OG13|46302,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2001 TQ142,12,200154845,200155326,482,,asteroid-Trojan,2001 TQ142,Asteroid.Trojan.2001 TQ142,2001 TQ142,2001 TQ142|77903,Ryan,GO12051
TNO.2010 FC49,10,200081325,200081803,479,,TNO,2010 FC49,TNO.2010 FC49,2010 FC49,2010 FC49|471150,Kiss,GO10075
TROJAN (65257),6,200058563,200059040,478,,asteroid-Trojan,-65257,TROJAN (65257),65257,2002 FU36|65257,Ryan,GO6025
Asteroid.Trojan.2002 GD118,111|112,200119653,200139953,476,,asteroid-Trojan,2002 GD118,Asteroid.Trojan.2002 GD118,2002 GD118,2002 GD118|226053,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TNO.2014 EZ51,15,200189697,200190171,475,,TNO,2014 EZ51,TNO.2014 EZ51,2014 EZ51,2014 EZ51,Pal|Grundy,GO15098|GO15073
Neptune,3,200004468,200004923,456,,planet,Neptune,Neptune,Neptune,799,Schaefer|Rowe|Gaulme,GO3115|GO3060|GO3057
TROJAN (5123),6,200054909,200055353,445,,asteroid-Trojan,-5123,TROJAN (5123),5123,1989 BL|5123,Ryan,GO6025
Asteroid.Trojan.Medon,111|112,200127110,200145761,442,,asteroid-Trojan,Medon,Asteroid.Trojan.Medon,Medon,1989 CK1|4836|Medon,Parker|Ryan,GO11100|GO11051
Comet.50P,14,200180261,200180699,439,,comet,50P,Comet.50P,50P,,Ryan,GO14086
Asteroid.Trojan.2002 CR306,13,200170706,200171140,435,,asteroid-Trojan,2002 CR306,Asteroid.Trojan.2002 CR306,2002 CR306,195204|2002 CR306,Ryan,GO13051
TROJAN (228102),6,200048775,200049195,421,,asteroid-Trojan,-228102,TROJAN (228102),228102,2008 SY172|228102,Ryan,GO6025
TNO.2010 PL66,12,200157634,200158050,417,,TNO,2010 PL66,TNO.2010 PL66,2010 PL66,2010 PL66|499522,Pal,GO12114
Asteroid.Trojan.2001 TL98,12,200154437,200154844,408,,asteroid-Trojan,2001 TL98,Asteroid.Trojan.2001 TL98,2001 TL98,2001 TL98|83722,Ryan,GO12051
TROJAN (58480),6,200056650,200057035,386,,asteroid-Trojan,-58480,TROJAN (58480),58480,1996 RJ33|58480,Ryan,GO6025
TROJAN (5436),6,200055882,200056266,385,,asteroid-Trojan,-5436,TROJAN (5436),5436,1990 DK|5436|Eumelos,Ryan,GO6025
TROJAN (65240),6,200058180,200058562,383,,asteroid-Trojan,-65240,TROJAN (65240),65240,2002 EU106|65240,Ryan,GO6025
Trojan 2005 CB68,7,200062141,200062523,383,,asteroid-Trojan, 2005 CB68,Trojan 2005 CB68,2005 CB68,134193|2005 CB68,Ryan,GO7025
TROJAN (51930),6,200055354,200055720,367,,asteroid-Trojan,-51930,TROJAN (51930),51930,2001 QW127|51930,Ryan,GO6025
TROJAN (113224),6,200042232,200042597,366,,asteroid-Trojan,-113224,TROJAN (113224),113224,113224|2002 RN121,Ryan,GO6025
TROJAN (13185),6,200043759,200044119,361,,asteroid-Trojan,-13185,TROJAN (13185),13185,13185|1996 TH52|Agasthenes,Ryan,GO6025
Comet.P2016 A3,14,200182235,200182587,353,,comet,P2016 A3,Comet.P2016 A3,P2016 A3,,Ryan,GO14086
TROJAN (12238),6,200042781,200043131,351,,asteroid-Trojan,-12238,TROJAN (12238),12238,12238|1987 YU1|Actor,Ryan,GO6025
TNO.2000 WC140,8,200065200,200065547,348,,TNO,2000 WC140,TNO.2000 WC140,2000 WC140,2000 WC140|203157,Ryan,GO8010
TROJAN (8550),6,200059880,200060226,347,,asteroid-Trojan,-8550,TROJAN (8550),8550,1994 PV24|8550|Hesiodos,Ryan,GO6025
TROJAN (99276),6,200060803,200061149,347,,asteroid-Trojan,-99276,TROJAN (99276),99276,2001 QC20|99276,Ryan,GO6025
Asteroid.Trojan.2002 RN121,111|112,200120357,200140396,344,,asteroid-Trojan,2002 RN121,Asteroid.Trojan.2002 RN121,2002 RN121,113224|2002 RN121,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2000 UX34,13,200169149,200169491,343,,asteroid-Trojan,2000 UX34,Asteroid.Trojan.2000 UX34,2000 UX34,193354|2000 UX34,Ryan,GO13051
Asteroid.Trojan.2010 VM61,15,200188098,200188439,342,,asteroid-Trojan,2010 VM61,Asteroid.Trojan.2010 VM61,2010 VM61,2010 VM61|316484,Ryan,GO15085
TROJAN (13379),6,200045698,200046039,342,,asteroid-Trojan,-13379,TROJAN (13379),13379,13379|1998 WX9,Ryan,GO6025
Asteroid.Hilda.Semois,14,200182588,200182924,337,,asteroid-Hilda,Semois,Asteroid.Hilda.Semois,Semois,1988 SQ|7174|Semois,Ryan,GO14085
Asteroid.Hilda.2008 DN52,10,200080500,200080833,334,,asteroid-Hilda,2008 DN52,Asteroid.Hilda.2008 DN52,2008 DN52,2008 DN52|341841,Ryan,GO10010
Comet.331P,14,200179738,200180070,333,,comet,331P,Comet.331P,331P,,Ryan,GO14086
Comet.2014 W2,15,200190928,200191256,329,,comet,2014 W2,Comet.2014 W2,2014 W2,2014 W2|C/2014 W2|PANSTARRS,Ryan,GO15086
TROJAN (83984),6,200059551,200059879,329,,asteroid-Trojan,-83984,TROJAN (83984),83984,2002 GL77|83984,Ryan,GO6025
TNO.Borasisi,12,200160635,200160957,323,,TNO,Borasisi,TNO.Borasisi,Borasisi,1999 RZ253|66652|Borasisi,Pal,GO12114
TROJAN (129602),6,200043132,200043447,316,,asteroid-Trojan,-129602,TROJAN (129602),129602,129602|1997 WA12,Ryan,GO6025
Asteroid.Trojan.2001 RS52,111|112,200117874,200138073,315,,asteroid-Trojan,2001 RS52,Asteroid.Trojan.2001 RS52,2001 RS52,2001 RS52|313206,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TROJAN (59049),6,200057036,200057345,310,,asteroid-Trojan,-59049,TROJAN (59049),59049,1998 TC31|59049,Ryan,GO6025
Asteroid.Trojan.2007 RL162,111|112,200121861,200141278,306,,asteroid-Trojan,2007 RL162,Asteroid.Trojan.2007 RL162,2007 RL162,2007 RL162|228009,Pal|Parker|Ryan,GO11114|GO11100|GO11051
TROJAN (23958),6,200050053,200050357,305,,asteroid-Trojan,-23958,TROJAN (23958),23958,1998 VD30|23958,Ryan,GO6025
TROJAN (3655),6,200051814,200052110,297,,asteroid-Trojan,-3655,TROJAN (3655),3655,1978 SA3|3655|Eupraksia,Ryan,GO6025
TROJAN (39270),6,200052467,200052760,294,,asteroid-Trojan,-39270,TROJAN (39270),39270,2001 AH11|39270,Ryan,GO6025
Asteroid.Trojan.Xanthomalitia,12,200163875,200164166,292,,asteroid-Trojan,Xanthomalitia,Asteroid.Trojan.Xanthomalitia,Xanthomalitia,1985 QX4|7394|Xanthomalitia,Ryan,GO12051
Asteroid.Trojan.2006 QA138,111|112,200121604,200141002,292,,asteroid-Trojan,2006 QA138,Asteroid.Trojan.2006 QA138,2006 QA138,175471|2006 QA138,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.2000 QG199,12,200150964,200151254,291,,asteroid-Trojan,2000 QG199,Asteroid.Trojan.2000 QG199,2000 QG199,2000 QG199|98002,Ryan,GO12051
Asteroid.Trojan.Hooke,111|112,200124548,200143186,290,,asteroid-Trojan,Hooke,Asteroid.Trojan.Hooke,Hooke,1971 UJ|3514|Hooke,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Trojan.Echion,111|112,200124404,200143041,288,,asteroid-Trojan,Echion,Asteroid.Trojan.Echion,Echion,13229|1997 VB1|Echion,Pal|Parker|Ryan,GO11114|GO11100|GO11051
Asteroid.Hilda.174077,14,200175720,200176001,282,,asteroid-Hilda,174077,Asteroid.Hilda.174077,174077,174077|2002 FP21,Ryan,GO14085
TNO.1999 TJ90,8,200062957,200063237,281,,TNO,1999 TJ90,TNO.1999 TJ90,1999 TJ90,1999 TJ90|20630,Ryan,GO8010
Asteroid.Trojan.31819,14,200179458,200179737,280,,asteroid-Trojan,31819,Asteroid.Trojan.31819,31819,1999 RS150|31819,Ryan,GO14085
